host_ts_ms,packet_number,time_offset_us,n_channels,ch0_type,ch0_status,ch0_value,ch1_type,ch1_status,ch1_value,ch2_type,ch2_status,ch2_value,ch3_type,ch3_status,ch3_value,ch4_type,ch4_status,ch4_value,ch5_type,ch5_status,ch5_value,ch6_type,ch6_status,ch6_value,ch7_type,ch7_status,ch7_value
1770054008313,28,500,5,0,0,4.80088,0,0,-0.000509262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008314,29,500,5,0,0,4.91933,0,0,-0.000492811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008314,30,500,5,0,0,4.83828,0,0,-0.000475168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008315,31,500,5,0,0,4.7323,0,0,-0.000500917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008315,32,500,5,0,0,4.79464,0,0,-0.00050211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008316,33,500,5,0,0,4.84452,0,0,-0.000474691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008316,34,500,5,0,0,4.9131,0,0,-0.000511408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008317,35,500,5,0,0,4.79464,0,0,-0.000500679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008317,36,500,5,0,0,4.81335,0,0,-0.000482082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008318,37,500,5,0,0,4.7697,0,0,-0.000498056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008318,38,500,5,0,0,4.82582,0,0,-0.00050354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008319,39,500,5,0,0,4.82582,0,0,-0.000472307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008319,40,500,5,0,0,4.77594,0,0,-0.000506639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008320,41,501,5,0,0,4.86322,0,0,-0.000491858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008320,42,500,5,0,0,4.86322,0,0,-0.000478506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008321,43,501,5,0,0,4.86322,0,0,-0.000497818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008321,44,500,5,0,0,4.79464,0,0,-0.000499487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008322,45,501,5,0,0,4.81958,0,0,-0.000475645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008322,46,500,5,0,0,4.77906,0,0,-0.000512362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008323,47,501,5,0,0,4.96298,0,0,-0.00049901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008323,48,500,5,0,0,4.73853,0,0,-0.000499487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008324,49,500,5,0,0,4.80088,0,0,-0.00050354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008324,50,500,5,0,0,4.8944,0,0,-0.000496149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008325,51,500,5,0,0,4.78217,0,0,-0.000495195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008325,52,500,5,0,0,4.81335,0,0,-0.000507116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008326,53,500,5,0,0,4.83517,0,0,-0.000482321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008326,54,500,5,0,0,4.83205,0,0,-0.000496149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008327,55,500,5,0,0,4.83205,0,0,-0.000498533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008327,56,500,5,0,0,4.85387,0,0,-0.00047636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008328,57,500,5,0,0,4.88193,0,0,-0.000502825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008328,58,500,5,0,0,4.81958,0,0,-0.000501394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008329,59,500,5,0,0,4.90687,0,0,-0.000479937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008329,60,500,5,0,0,4.72606,0,0,-0.000510454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008330,61,500,5,0,0,4.86322,0,0,-0.000506639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1770054008330,62,501,5,0,0,4.80711,0,0,-0.000474215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
